mmsi,imo_number,ship_name,call_sign,ship_type_code,ship_category,length_m,beam_m,draught_m,destination
200000000,,CFAOC,,,Unknown,,,,
205045000,9849760,EBE ARTEMIA,ONRE,70,Cargo,300,50,10.2,SGSIN
205083000,9792527,BOKA TIAMAT,ORUE,79,Cargo,98,20,5.6,AEW
205744000,9187473,VASCO DA GAMA,ORST,33,Fishing / Towing / Dredging,201,36,14.6,SGSIN APTE2 - APTM2
209527000,9524140,BEACHWAY,5BUC4,33,Fishing / Towing / Dredging,119,21,5.5,SINGAPORE
210761000,9406166,GRAND LADY,5BZW6,80,Tanker,330,60,11,USCRP
211151710,9943918,WILHELMSHAVEN EXPRES,DDQP2,71,Cargo,400,61,11.8,YANGSHAN
212031000,9383481,ANL BURRUP TRADER,5BEN2,70,Cargo,117,20,5.2,SG PEBGA
212505000,9579030,STENA SUPERIOR,5BRM6,80,Tanker,273,48,14,SGSIN TANKSTORE
215137000,9780897,CMA CGM J.MADISON,9HA4975,71,Cargo,366,48,11,SGSIN
215141000,9350393,CMA CGM CORAL,9HA4979,73,Cargo,282,32,13.3,CNNSA
215347000,9839923,CMA CGM PANAMA,9HA5074,79,Cargo,366,51,16.2,EGZZ1
215730000,9877183,CAPTAIN LYRISTIS,9HA5262,80,Tanker,274,48,15.5,SGSIN
219199000,9458030,MAERSK EDMONTON,OYHV2,71,Cargo,366,48,12,CNQDG
219502000,9577068,TORM EVOLVE,OZEG2,80,Tanker,228,32,9.4,SIN_PEBGC
225372000,9338797,SESTAO KNUTSEN,ECBK,84,Tanker,284,43,9.5,ASSPU
228468900,9966764,CMA CGM FORT JAMES,FNAC,79,Cargo,268,44,13.5,SGSIN>IDJKT
229657000,9625281,SAN PEDRO,9HA3492,71,Cargo,172,27,8.8,MYPKG
232026709,9252307,VS REMLIN,MGYO8,81,Tanker,171,27,8,SG PEBGC
232027081,9891440,ENERGY ATHENA,MHCJ3,80,Tanker,183,32,8.1,SINGAPORE AWPB
232046110,1040801,KAHALA,MNDH8,37,Sailing / Pleasure / HSC,40,8,2.1,SINGAPORE
232054145,,,MOYC2,37,Sailing / Pleasure / HSC,,,,
232057588,,NINA CHARLOTTE,,,Unknown,,,,
232063029,9381691,SEEKER TIDE,MSPN4,70,Cargo,93,21,4.3,PEBG-A
232064296,9631395,PACIFIC DILIGENCE,MSY07,52,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,92,22,7.5,ASPLU
241393000,9519494,MARAN TAURUS,SVCG3,80,Tanker,333,60,11,SG SIN
241614000,9787194,MINERVA OLYMPIA,SVDA4,89,Tanker,250,44,12.8,SG SIN(PEBGB)
241640000,9791901,DESERT DIGNITY,SVDC8,70,Cargo,199,32,13.6,SG SIN
241971000,9963827,MARAN GAS ANTIPAROS,SVEB8,80,Tanker,295,47,9,SG SIN
245732000,9656498,ROLLDOCK STAR,PBIK,79,Cargo,151,26,5.1,SGSIN AEW
246481000,9243837,JUMBO JAVELIN,PHEG,90,Other,144,27,6.3,SGSIN PEBGA
249067000,9398539,BOKA GUARD,9HA6094,52,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,74,21,6.1,SSE SG SIN
249654000,9737230,BOKA STRIKER,9HA6340,90,Other,89,21,6.5,SG SIN
253000147,9639878,BOURBONEVOLUTION810,LXAR6,99,Other,100,20,6.2,SINGAPORE
255806182,9810343,INDUSTRIAL CONSTANT,CQAI4,79,Cargo,100,21,6.8,SGSIN
256099000,9718583,KIRAN CASPIAN,9HA3817,79,Cargo,200,32,13.3,ZAPLZ>SGSIN
268268900,9285823,KIARA M,T7DZ5,80,Tanker,333,60,12.5,PEBGC SINGAPORE
303210000,9316139,PATRIOT,WAIU,70,Cargo,199,31,8,SG PEBGA
305025400,9333591,QUEEN CASSIOPEIA,V2C2025,80,Tanker,288,44,9,SGSIN PWBGA
305485000,9306677,SLOMAN THEMIS,V2HJ8,80,Tanker,172,28,10,PWBGA
305496000,9306653,SLOMAN THETIS,V2HJ9,80,Tanker,171,27,7,MYTPP
309781000,9360893,AL SHAMAL,C6VG4,80,Tanker,315,50,9.3,PGBG
311000460,9484077,SELETAR SPIRIT,C6CF8,80,Tanker,243,42,12.1,SG JPUT
311000475,9705641,MUREX,C6CH7,89,Tanker,295,46,9.7,SIN PGBG
311000639,9766322,SONANGOL MAIOMBE,C6DC7,80,Tanker,274,48,11.9,SGSIN
311000774,9358591,FUGRO MARINER,C6DS9,99,Other,76,20,4.6,SNGAPORE AEW
311001204,9646895,AFRICAN NIGHTHAWK,C6GB9,70,Cargo,180,30,6.6,SINGAPORE-PEBGB
311001237,9989479,ERREA WITTU,C6GG2,99,Other,339,64,0,
311001592,9880192,MARVEL SWAN,C6HX3,80,Tanker,293,46,9.4,
311001751,8807662,FRIO POSEIDON,C6IR7,70,Cargo,148,20,9.1,SINGAPORE
311009200,9381562,GULF BAYNUNAH,C6XG8,80,Tanker,183,32,7.5,SG SIN AWW
311065700,9627411,FUGRO EQUATOR,C6ZT5,99,Other,64,14,5.2,SELAT PAUH ANCHORAGE
312092000,8355621,PENGUIN AMAN,V3SQ2,90,Other,,,0,
312229000,,SEA KESTREL,,,Unknown,,,,
312250000,,,V30HG,70,Cargo,,,,
312463000,9394349,STRAITS KAIZEN,V3RU8,80,Tanker,100,18,4.5,MY_T.PELEPAS
312466000,,,V3MS6,52,Pilot / SAR / Tug / Port Tender / Anti-pollution / Law / Medical,,,,
312578000,,JOLLY ROYAL SC4854F,,,Unknown,,,,
312653000,107727000,BATAMINDO LEO,V3RV7,70,Cargo,99,16,3,SGSIN PEBGA
312832000,,COASTLINK 8,,,Unknown,,,,
312871000,9779721,SEA PELICAN,V3JO2,70,Cargo,21,7,0,
