timestamp_utc,mmsi,ship_name,message_type,imo_number,call_sign,vessel_name,ship_type_code,dim_a,dim_b,dim_c,dim_d,length_m,beam_m,draught_m,destination,eta_month,eta_day,eta_hour,eta_minute
2026-04-07 06:35:28.227108469 +0000 UTC,563250600,MAJESTIC HARMONY,ShipStaticData,1073121,9VCO4,MAJESTIC HARMONY,40,10,29,7,3,39,10,0,HFC-BTC(RETURN),4,4,0,50
2026-04-07 06:35:33.81574276 +0000 UTC,566091000,ZEMIRA,ShipStaticData,9397767,9VAA3,ZEMIRA,80,63,12,11,6,75,17,6,SINGAPORE,4,19,8,0
2026-04-07 06:35:43.808024193 +0000 UTC,525200295,JATIM,StaticDataReport,,,JATIM,,0,0,0,0,,,,,,,,
2026-04-07 06:35:44.014626964 +0000 UTC,533057100,ORKIM DISCOVERY,ShipStaticData,9564396,9MLL9,ORKIM DISCOVERY,80,100,20,12,8,120,20,5.2,SPORE WBGA,4,6,6,0
2026-04-07 06:35:44.54936953 +0000 UTC,566357000,MV BATAMFAST 18,ShipStaticData,9106120,9V8137,MV BATAMFAST 18,60,10,18,4,5,28,9,1.2,BTC HFC RETURN,4,7,16,40
2026-04-07 06:35:44.57668506 +0000 UTC,564759000,I MOLA,ShipStaticData,9204025,9V5704,I MOLA,60,26,6,4,4,32,8,0,MSP,6,24,18,30
2026-04-07 06:35:55.278995331 +0000 UTC,565102000,AYER CHERDAS,ShipStaticData,9698745,9V2801,AYER CHERDAS,86,30,10,5,5,40,10,4,SINGAPORE,5,30,8,0
2026-04-07 06:35:57.988939165 +0000 UTC,563026590,PANDUAN,ShipStaticData,9714549,9V2429,PANDUAN,53,15,20,5,5,35,10,2.3,SINGAPORE,12,15,12,0
2026-04-07 06:35:59.659675009 +0000 UTC,563040382,SC1494C,StaticDataReport,,,SC1494C,,0,0,0,0,,,,,,,,
2026-04-07 06:35:59.800525933 +0000 UTC,525008101,TB BALONGAN 1,ShipStaticData,9149536,YFIX,TB BALONGAN 1,52,10,22,2,7,32,9,3.5,CAPLONG,4,3,0,0
2026-04-07 06:36:01.081885956 +0000 UTC,538007592,NORTHERN HIGHWAY,ShipStaticData,9392339,V7FT4,NORTHERN HIGHWAY,70,24,164,22,6,188,28,7,SG SIN PEBGA,4,6,13,15
2026-04-07 06:36:04.516828862 +0000 UTC,563204400,DILIGENCE,ShipStaticData,9955820,9V8313,DILIGENCE,80,72,18,12,4,90,16,5.8,ARP,4,7,7,30
