mmsi,imo,name,callsign,type,type_specific,country_iso,length,breadth,draught_max,gross_tonnage,deadweight,teu,year_built,speed_max
123445681,None,BUOY HIJAU 1 DSI 4375,,Reference Point,Reference Point,,,,,,,,,
123445683,None,BUOY MERAH 2 DSI 4376,,RACON,RACON,,,,,,,,,
123445689,None,BUOY HIJAU 3 DSI 4377,,Reference Point,Reference Point,,,,,,,,,
123445691,None,BUOY MERAH 4 DSI 4378,,RACON,RACON,,,,,,,,,
123445693,None,BUOY HIJAU 5 DSI 4379,,Reference Point,Reference Point,,,,,,,,,
152487966,None,WEST BREAKWATER,,RACON,RACON,,,,,,,,,
152487967,None,T,,Navigation Aid,Navigation Aid,,,,,,,,,
200000001,,KRI OWA 354,PLDQ,Other,Other,,123.0,12.0,,,,,,
200000021,,HAI RUN YU YUN 21,,Pleasure Craft,Pleasure Craft,,,,,,,,,
200000079,,SRI PERKASA 90,,Pilot Vessel,Pilot Vessel,,20.0,6.0,,,,,,24.0
200000089,,SRI PERKASA 89,,Pilot Vessel,Pilot Vessel,,,,,,,,,21.0
200500255,,CNPL 02,PDIC,Fishing,Fishing,,,,,,,,,
203614400,,TAHAA 1,OEX8149,Pleasure Craft,Pleasure Craft,AT,13.0,7.0,,,,,,4.0
203855300,,UNAVAILABLE,,Pleasure Craft,Pleasure Craft,AT,,,,,,,,
205045000,9849760,EBE ARTEMIA,ONRE,Cargo,Bulk Carrier,BE,299.95,50.07,9.8,107879.0,208445.0,,2020,17.0
205083000,9792527,BOKA TIAMAT,ORUE,Cargo,Offshore Construction Vessel,BE,98.1,20.05,5.7,6133.0,3303.0,,2019,11.0
205330000,9989481,MINERAL SUOMI,ONME,Cargo,Bulk Carrier,BE,299.95,50.04,,,,,,
205335000,9989493,MINERAL POLSKA,ONMH,Cargo,Bulk Carrier,BE,300.0,50.04,,,,,,
205353000,9701346,MINERAL SAKURA,ONOA,Cargo,Bulk Carrier,BE,291.9,45.0,9.1,93518.0,182481.0,,2015,16.0
205383000,9743174,MINERAL CALVUS,ONON,Cargo,Bulk Carrier,BE,291.9,45.05,18.3,93908.0,180521.0,,2018,17.0
205385000,9717395,GOLDEN CIRRUS,ONOP,Cargo,Bulk Carrier,BE,291.9,45.0,18.2,93908.0,180487.0,,2018,16.0
205388630,,MONARA,OP3886,Pleasure Craft,Pleasure Craft,BE,20.0,6.0,,,,,1960,12.0
205457000,,PINOCCHIO,ORNW,Other,Other,BE,60.0,18.0,,,,,,94.0
205479000,9723538,MINERAL YANNICK,ONPW,Cargo,Bulk Carrier,BE,292.0,45.0,11.1,94528.0,181044.0,,2017,15.0
205537000,9483138,KSL CHINA,ONQJ,Cargo,Bulk Carrier,BE,292.0,45.06,18.2,94523.0,179109.0,,2012,16.0
205563000,9719939,MINERAL NACER,ONQO,Cargo,Bulk Carrier,BE,292.0,45.0,9.2,94742.0,181055.0,,2014,17.0
205575000,9723502,MINERAL TOBY,ONQR,Cargo,Bulk Carrier,BE,292.0,45.0,15.0,94742.0,181010.0,,2015,16.0
205583000,9683269,MINERAL JAN,ONQV,Cargo,Bulk Carrier,BE,292.0,45.0,17.5,94742.0,181009.0,,2014,16.0
205744000,9187473,VASCO DA GAMA,ORST,Dredger,Hopper Dredger,BE,200.0,36.2,7.6,36567.0,59235.0,,2000,18.0
205881910,,TOKEI,OR8819,Sailing Vessel,Sailing Vessel,BE,15.0,4.0,,,,,,6.0
209034000,9583158,FLORA,5BHY3,Cargo,Bulk Carrier,CY,228.99,32.26,7.4,43022.0,82177.0,,2011,16.0
209111000,9731444,STAR LIBRA,5BPH4,Cargo,Bulk Carrier,CY,299.88,50.0,17.8,108237.0,207765.0,,2016,15.0
209282000,9476458,DENITA WAVE,5BHB3,Cargo,Bulk Carrier,CY,229.2,38.0,15.1,51255.0,93201.0,,2011,17.0
209469000,9132454,FAIRWAY,5BMQ3,Dredger,Hopper Dredger,CY,230.71,32.0,13.6,33423.0,42260.0,,1997,19.0
209527000,9524140,BEACHWAY,5BUC4,Dredger,Hopper Dredger,CY,118.47,21.0,5.4,6725.0,7347.0,,2010,19.0
209605000,9841897,EUROPA GRAECA,5BFS5,Cargo,Bulk Carrier,CY,229.0,32.3,13.4,44095.0,82000.0,,2019,15.0
209622000,,BABY PEGASUS,P3WC9,Pleasure Craft,Pleasure Craft,CY,,,,,,,,8.0
