timestamp_utc,mmsi,ship_name,message_type,latitude,longitude,sog_knots,cog_degrees,true_heading,rate_of_turn,nav_status_code,nav_status_text,position_accuracy
2026-04-07 06:35:21.513409294 +0000 UTC,566511000,,PositionReport,1.22494,103.71614333333333,0.1,57.2,38,0,0,Under way using engine,True
2026-04-07 06:35:21.64844511 +0000 UTC,563056100,,PositionReport,1.2761833333333332,103.77591000000001,0,299.9,30,0,5,Moored,True
2026-04-07 06:35:22.020664102 +0000 UTC,563092000,,PositionReport,1.2266266666666668,103.68729,2.2,287.2,,-128,0,Under way using engine,False
2026-04-07 06:35:22.086862201 +0000 UTC,563025390,,PositionReport,1.1991450000000001,103.74147333333333,0,66.6,,-128,0,Under way using engine,False
2026-04-07 06:35:22.367742857 +0000 UTC,563204400,,PositionReport,1.2160583333333332,103.86457666666666,10.1,243.7,245,0,0,Under way using engine,False
2026-04-07 06:35:22.955596895 +0000 UTC,538011746,,PositionReport,1.1708783333333335,103.77238000000001,0,55.1,235,0,3,Restricted manoeuvrability,False
2026-04-07 06:35:23.154796804 +0000 UTC,477898700,,PositionReport,1.26595,103.77961666666667,1.3,44,22,0,0,Under way using engine,True
2026-04-07 06:35:23.480276803 +0000 UTC,525100350,,PositionReport,-7.3707666666666665,113.27801666666666,0,243.8,243,11,11,Power-driven vessel towing astern,True
2026-04-07 06:35:23.479276739 +0000 UTC,563215500,,PositionReport,1.2380183333333332,103.73647833333332,0,143.1,264,0,0,Under way using engine,False
2026-04-07 06:35:23.590949162 +0000 UTC,525018301,,PositionReport,-6.851723333333334,112.43094333333333,0,301.3,,-128,0,Under way using engine,True
2026-04-07 06:35:23.868450007 +0000 UTC,314001139,,PositionReport,1.2223966666666668,103.908805,13.3,249.2,,-128,0,Under way using engine,True
2026-04-07 06:35:23.88925473 +0000 UTC,533131134,,StandardClassBPositionReport,1.2651033333333332,103.81336833333333,0,230.9,,,,,True
2026-04-07 06:35:24.2895675 +0000 UTC,563004120,,StandardClassBPositionReport,1.2621416666666667,103.84521833333334,0,302.8,,,,,True
2026-04-07 06:35:24.44899085 +0000 UTC,566357000,,PositionReport,1.2619166666666668,103.81975666666668,0.1,243.7,,-128,0,Under way using engine,True
2026-04-07 06:35:24.607427273 +0000 UTC,565102000,,PositionReport,1.257475,103.84186500000001,0,248.8,,-128,8,Under way sailing,False
2026-04-07 06:35:24.740609318 +0000 UTC,305496000,,PositionReport,1.14697,103.75396,8.2,239,239,5,0,Under way using engine,False
2026-04-07 06:35:24.766770564 +0000 UTC,563141500,,PositionReport,1.2891983333333334,103.759775,9.9,241.6,243,0,0,Under way using engine,False
2026-04-07 06:35:24.795124101 +0000 UTC,538009776,,PositionReport,1.2881033333333332,103.96706,0,272.6,125,0,1,At anchor,False
2026-04-07 06:35:24.954983903 +0000 UTC,566392000,,PositionReport,1.2923900000000001,103.95869166666667,0,265.3,84,0,0,Under way using engine,False
2026-04-07 06:35:25.064570425 +0000 UTC,357225000,,PositionReport,1.234955,103.82104666666667,0.1,257.6,133,0,1,At anchor,False
2026-04-07 06:35:25.411275564 +0000 UTC,525119148,,PositionReport,1.262565,103.84318,1.9,150.5,,-128,0,Under way using engine,True
2026-04-07 06:35:25.569194033 +0000 UTC,312653000,,PositionReport,1.2644333333333333,103.84276,0,294.5,,-128,0,Under way using engine,False
2026-04-07 06:35:25.629165781 +0000 UTC,563250600,,PositionReport,1.2619216666666666,103.81882166666666,0,91.1,268,0,8,Under way sailing,False
2026-04-07 06:35:25.744358803 +0000 UTC,525004108,,PositionReport,-6.592068333333333,110.64723666666667,0,7.5,,-128,0,Under way using engine,True
2026-04-07 06:35:26.048341656 +0000 UTC,563074570,,PositionReport,1.2628133333333333,103.82846666666666,0.1,208.5,,-128,15,Undefined (default),True
2026-04-07 06:35:26.280079639 +0000 UTC,564855000,,PositionReport,1.1905233333333334,103.82995333333334,6.1,125.1,121,0,0,Under way using engine,False
2026-04-07 06:35:26.794143113 +0000 UTC,538005806,,PositionReport,1.24185,103.965125,4,16.7,357,-19,0,Under way using engine,False
2026-04-07 06:35:26.927647134 +0000 UTC,563315800,,PositionReport,1.2376216666666666,103.82607666666667,15.1,321.4,320,0,9,Reserved (HSC),False
2026-04-07 06:35:27.466782087 +0000 UTC,352006233,,PositionReport,1.2233266666666667,103.79356666666666,6.7,314.6,314,-6,0,Under way using engine,False
2026-04-07 06:35:27.483729385 +0000 UTC,563019670,,PositionReport,1.2453683333333332,103.79423166666668,14.4,187.5,192,127,15,Undefined (default),True
2026-04-07 06:35:27.691266572 +0000 UTC,525004994,,StandardClassBPositionReport,-6.834365,112.19710666666667,5.4,26.6,,,,,False
2026-04-07 06:35:27.778084294 +0000 UTC,351018000,SOL PROGRESS,PositionReport,1.2354999999999998,103.69966666666666,10.4,224,,-128,0,Under way using engine,False
2026-04-07 06:35:27.857332978 +0000 UTC,542659110,,StandardClassBPositionReport,1.2705233333333332,103.85517666666667,0,0,,,,,True
